,Unnamed: 0,Unnamed: 0.1,tweet_id,timestamp,dog_name,doggo,floofer,pupper,puppo,api_favorite_count,api_lang,api_retweet_count,img_jpg_url,img_img_num,img_p1,img_p1_conf,img_p1_dog,img_p2,img_p2_conf,img_p2_dog,img_p3,img_p3_conf,img_p3_dog,rating,followers_count,statuses_count,friends_count,float_rating,just_date
719,813,1008,747594051852075008,2016-06-28 00:54:46,None,None,None,None,None,3597.0,en,1032.0,https://pbs.twimg.com/media/Cl_80k5WkAEbo9m.jpg,1.0,basenji,0.389136,True,dingo,0.270226,False,Chihuahua,0.0989388,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-28
720,816,1013,747219827526344708,2016-06-27 00:07:44,Atticus,None,None,None,None,5149.0,en,1527.0,https://pbs.twimg.com/media/Cl6odlVWQAIy5uk.jpg,2.0,Shetland_sheepdog,0.548018,True,marmot,0.16550299999999998,False,collie,0.0430026,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-27
721,818,1015,747103485104099331,2016-06-26 16:25:26,None,None,None,None,None,9365.0,en,3857.0,https://pbs.twimg.com/media/Cl4-pevXEAAb8VW.jpg,1.0,Labrador_retriever,0.991954,True,golden_retriever,0.00222849,True,doormat,0.00140402,False,11/10,8877196.0,13020.0,19.0,1.1,2016-06-26
722,820,1017,746872823977771008,2016-06-26 01:08:52,a,None,None,None,None,5862.0,en,2083.0,https://pbs.twimg.com/media/Cl1s1p7WMAA44Vk.jpg,1.0,Pembroke,0.540201,True,beagle,0.207835,True,Italian_greyhound,0.0435649,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-26
723,821,1018,746818907684614144,2016-06-25 21:34:37,None,None,None,None,None,5218.0,en,1702.0,https://pbs.twimg.com/media/Cl071YVWEAAlF7N.jpg,1.0,dingo,0.175518,False,timber_wolf,0.13364700000000002,False,Ibizan_hound,0.101537,True,13/10,8877196.0,13020.0,19.0,1.3,2016-06-25
724,823,1021,746726898085036033,2016-06-25 15:29:00,Abby,None,None,None,None,5922.0,en,1748.0,https://pbs.twimg.com/media/ClzoJz7WYAELHSf.jpg,1.0,golden_retriever,0.25650500000000004,True,Labrador_retriever,0.252417,True,seat_belt,0.203163,False,12/10,8877196.0,13020.0,19.0,1.2,2016-06-25
725,827,1027,746056683365994496,2016-06-23 19:05:49,Arlen,None,None,None,None,3498.0,en,791.0,https://pbs.twimg.com/media/ClqGl7fXIAA8nDe.jpg,1.0,Shetland_sheepdog,0.43332,True,collie,0.335997,True,borzoi,0.177179,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-23
726,832,1032,745314880350101504,2016-06-21 17:58:09,Sugar,None,None,None,None,7008.0,en,2685.0,https://pbs.twimg.com/media/Clfj6RYWMAAFAOW.jpg,2.0,ice_bear,0.807762,False,great_white_shark,0.0270404,False,fountain,0.0220518,False,12/10,8877196.0,13020.0,19.0,1.2,2016-06-21
727,833,1034,745057283344719872,2016-06-21 00:54:33,Oliver,None,None,None,None,7095.0,en,2186.0,https://pbs.twimg.com/media/Clb5pLJWMAE-QS1.jpg,2.0,Shetland_sheepdog,0.963985,True,collie,0.0262057,True,Border_collie,0.00454365,True,12/10,8877196.0,13020.0,19.0,1.2,2016-06-21
728,835,1036,744971049620602880,2016-06-20 19:11:53,Indie,None,None,None,None,7709.0,en,2618.0,https://pbs.twimg.com/media/ClarNU8VAAEDrDt.jpg,1.0,toy_poodle,0.497755,True,golden_retriever,0.282017,True,miniature_poodle,0.0900324,True,12/10,8877196.0,13020.0,19.0,1.2,2016-06-20
729,837,1038,744334592493166593,2016-06-19 01:02:50,Blanket,None,None,None,None,6635.0,en,2052.0,https://pbs.twimg.com/media/ClRoXGwWIAEVVzc.jpg,1.0,Samoyed,0.960543,True,Pomeranian,0.0121919,True,white_wolf,0.00475299,False,11/10,8877196.0,13020.0,19.0,1.1,2016-06-19
730,838,1039,744234799360020481,2016-06-18 18:26:18,None,doggo,None,None,None,152910.0,en,75688.0,https://pbs.twimg.com/ext_tw_video_thumb/744234667679821824/pu/img/1GaWmtJtdqzZV7jy.jpg,1.0,Labrador_retriever,0.825333,True,ice_bear,0.04468080000000002,False,whippet,0.0184422,True,13/10,8877196.0,13020.0,19.0,1.3,2016-06-18
731,839,1041,743980027717509120,2016-06-18 01:33:55,Geno,None,None,None,None,4088.0,en,1067.0,https://pbs.twimg.com/media/ClMl4VLUYAA5qBb.jpg,1.0,bull_mastiff,0.97573,True,Rhodesian_ridgeback,0.00807261,True,pug,0.00557087,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-18
732,843,1046,743545585370791937,2016-06-16 20:47:36,Bentley,None,None,None,None,3448.0,en,918.0,https://pbs.twimg.com/media/ClGawiUWAAAgs0w.jpg,2.0,rapeseed,0.876875,False,standard_poodle,0.06058350000000001,True,Great_Pyrenees,0.0330057,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-16
